run_id,replicate,gpu,gpu_arch,gpu_power_limit_w,model,params_b,precision,quantization_backend,gguf_file,batch_size,context_length,requested_tokens,decoded_tokens,ignore_eos,sampling_rate_hz,wall_s,process_energy_j,process_energy_trapezoid_j,mean_power_w,cooldown_s,cooldown_converged,start_power_w,start_temp_c,peak_temp_c,max_power_w,n_power_samples,returncode,llama_cpp_commit,flash_attn,temp,seed,basis,measurement_source,n_trials,session
rtx4090-llamacpp-v2-q4mlperf-n576-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,576,True,100.0,6.337,1240.788,1116.134,195.79,60.1,True,25.45,28,44,313.4,606,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n576-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,576,True,100.0,6.549,1256.216,1123.392,191.83,60.1,True,24.68,28,45,310.98,630,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n576-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,576,True,100.0,6.33,1249.532,1124.104,197.4,60.1,True,24.81,28,45,312.66,608,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n64-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,64,True,100.0,3.395,300.061,211.02,88.4,60.1,True,26.05,28,40,149.1,322,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n64-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,64,True,100.0,3.123,281.526,193.131,90.16,60.1,True,25.56,28,40,150.97,294,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n64-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,64,True,100.0,3.456,303.575,210.434,87.85,60.1,True,25.83,29,41,149.62,327,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n64-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,64,True,100.0,3.454,300.008,214.343,86.85,60.1,True,25.19,28,40,150.88,329,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n64-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,64,True,100.0,3.471,297.718,214.407,85.77,60.1,True,24.98,28,40,146.73,331,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n320-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,320,320,True,100.0,4.932,780.094,649.703,158.16,60.1,True,26.61,29,44,310.49,474,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n320-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,320,320,True,100.0,4.684,754.99,619.721,161.18,60.1,True,24.45,28,44,310.71,449,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n320-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,320,320,True,100.0,5.025,778.261,649.883,154.88,60.1,True,24.18,28,43,308.25,481,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n320-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,320,320,True,100.0,4.67,756.881,628.21,162.07,60.1,True,26.18,30,45,312.5,449,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n320-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,320,320,True,100.0,4.979,779.661,649.98,156.6,60.1,True,26.46,28,44,311.56,479,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n576-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,576,True,100.0,6.713,1277.068,1146.897,190.23,60.1,True,25.09,28,44,309.95,643,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n576-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,576,True,100.0,6.652,1268.606,1145.05,190.71,60.1,True,25.57,28,44,309.06,640,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n576-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,576,True,100.0,6.214,1244.756,1111.828,200.31,60.1,True,25.92,29,46,313.57,599,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n576-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,576,True,100.0,6.314,1244.823,1120.561,197.15,60.1,True,26.28,28,44,312.55,608,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4ours-n576-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,576,True,100.0,7.429,1307.787,1180.895,176.05,60.1,True,25.15,28,44,311.4,712,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
